,Q4/2024,Q3/2024,Q2/2024,Q1/2024,Q4/2023,Q3/2023,Q2/2023,Q1/2023,Q4/2022,Q3/2022,Q2/2022,Q1/2022,Q4/2021,Q3/2021,Q2/2021,Q1/2021,Q4/2020,Q3/2020,Q2/2020,Q1/2020,Q4/2019,Q3/2019,Q2/2019,Q1/2019,Q4/2018,Q3/2018,Q2/2018,Q1/2018,Q4/2017,Q3/2017,Q2/2017,Q1/2017,Q4/2016,Q3/2016,Q2/2016,Q1/2016,Q4/2015,Q3/2015,Q2/2015,Q1/2015
    Doanh thu thuần,"17,607,817,805,892.00","15,902,821,715,757.00","15,245,226,416,020.00","14,092,928,413,699.00","14,690,412,703,323.00","13,761,744,975,857.00","12,484,364,264,902.00","11,681,378,883,303.00","13,042,426,271,109.00","11,148,559,020,353.00","10,096,060,090,959.00","9,730,253,844,391.00","10,704,055,633,280.00","8,725,171,956,972.00","8,641,707,284,821.00","7,586,327,669,954.00","8,666,704,612,977.00","7,553,128,504,072.00","6,980,002,498,337.00","6,630,564,911,438.00","8,120,187,874,196.00","7,104,374,137,543.00","6,825,918,524,598.00","5,666,479,616,064.00","6,952,446,588,573.00","6,036,058,933,435.00","5,474,262,724,100.00","4,750,768,611,617.00","12,495,737,352,665.00","10,831,198,037,445.00","9,946,702,598,780.00","9,418,119,567,621.00","12,399,573,089,770.00","9,755,288,350,096.00","8,958,526,432,579.00","8,466,518,261,019.00","10,449,042,783,674.00","9,527,463,506,576.00","9,328,539,915,897.00","8,641,481,450,290.00"
        Tăng trưởng doanh thu,19.86%,15.56%,22.11%,20.64%,12.64%,23.44%,23.66%,20.05%,21.85%,27.77%,16.83%,28.26%,23.51%,15.52%,23.81%,14.41%,6.73%,6.32%,2.26%,17.01%,16.80%,17.70%,24.69%,19.28%,-44.36%,-44.27%,-44.96%,-49.56%,0.78%,11.03%,11.03%,11.24%,18.67%,2.39%,-3.97%,-2.02%,-31.85%,-29.31%,-12.70%,-20.48%
    Lợi nhuận gộp,"6,478,973,351,926.00","6,158,955,664,406.00","5,651,357,322,898.00","5,510,465,680,087.00","5,631,863,560,161.00","5,496,368,967,016.00","4,633,824,307,037.00","4,567,879,000,694.00","5,241,273,784,162.00","4,359,485,692,257.00","3,842,688,349,310.00","3,953,321,292,553.00","4,094,368,175,339.00","3,250,928,734,025.00","3,440,181,142,905.00","2,894,526,954,668.00","3,470,920,950,243.00","2,998,778,191,778.00","2,721,754,673,951.00","2,624,378,378,526.00","3,071,028,277,517.00","2,782,725,269,232.00","2,578,129,542,120.00","2,279,330,299,668.00","2,571,210,747,456.00","2,295,670,242,789.00","2,000,672,597,403.00","1,855,560,326,804.00","2,850,422,016,373.00","2,415,836,625,376.00","2,431,579,550,839.00","2,075,513,389,017.00","2,787,127,572,335.00","2,216,581,048,829.00","1,933,550,359,469.00","1,686,151,346,915.00","2,158,680,586,355.00","1,914,596,624,885.00","1,801,912,782,980.00","1,689,717,875,940.00"
        Tăng trưởng lợi nhuận gộp,15.04%,12.05%,21.96%,20.64%,7.45%,26.08%,20.59%,15.55%,28.01%,34.10%,11.70%,36.58%,17.96%,8.41%,26.40%,10.29%,13.02%,7.76%,5.57%,15.14%,19.44%,21.22%,28.86%,22.84%,-9.80%,-4.97%,-17.72%,-10.60%,2.27%,8.99%,25.76%,23.09%,29.11%,15.77%,7.31%,-0.21%,22.08%,19.17%,15.95%,25.62%
    Lợi nhuận thuần từ HĐKD,"2,922,046,994,779.00","2,948,226,004,570.00","2,640,452,963,597.00","2,515,527,123,032.00","2,386,698,290,464.00","2,438,361,031,885.00","2,189,766,371,273.00","2,096,933,282,136.00","1,978,262,144,383.00","1,993,657,541,909.00","1,836,170,115,757.00","1,772,700,579,087.00","1,739,745,644,406.00","1,583,035,594,235.00","1,523,659,692,592.00","1,380,037,491,735.00","1,423,198,361,419.00","1,369,402,467,106.00","1,268,042,508,885.00","1,127,536,485,672.00","1,135,574,754,296.00","1,347,402,673,251.00","1,164,535,589,481.00","937,234,021,911.00","1,086,434,591,271.00","1,057,301,204,429.00","879,551,998,573.00","771,385,943,104.00","1,922,129,774,999.00","882,252,175,539.00","779,116,749,775.00","629,910,969,468.00","986,045,555,923.00","749,013,779,691.00","674,360,526,484.00","554,781,334,345.00","843,492,268,123.00","621,826,760,957.00","711,603,570,023.00","628,940,977,842.00"
        Tăng trưởng lợi nhuận thuần,22.43%,20.91%,20.58%,19.96%,20.65%,22.31%,19.26%,18.29%,13.71%,25.94%,20.51%,28.45%,22.24%,15.60%,20.16%,22.39%,25.33%,1.63%,8.89%,20.30%,4.52%,27.44%,32.40%,21.50%,-43.48%,19.84%,12.89%,22.46%,94.93%,17.79%,15.53%,13.54%,16.90%,20.45%,-5.23%,-11.79%,37.73%,5.23%,13.24%,10.95%
    Lợi nhuận trước thuế,"2,959,667,491,092.00","2,908,620,633,374.00","2,668,968,551,824.00","2,533,582,054,552.00","2,435,092,799,591.00","2,429,150,459,859.00","2,218,132,633,347.00","2,120,643,647,098.00","1,989,028,630,914.00","2,028,024,819,924.00","1,857,844,626,387.00","1,779,047,846,680.00","1,760,402,225,467.00","1,638,572,771,884.00","1,539,464,518,474.00","1,396,751,211,337.00","1,447,320,040,402.00","1,385,878,971,886.00","1,285,493,108,003.00","1,142,289,868,827.00","1,157,064,011,888.00","1,368,471,027,871.00","1,178,628,750,300.00","960,366,721,615.00","1,114,533,003,366.00","1,050,676,926,003.00","906,314,220,349.00","780,778,210,852.00","1,940,194,881,279.00","881,652,746,973.00","783,482,958,690.00","643,244,794,751.00","1,002,297,239,272.00","754,086,133,429.00","694,769,657,597.00","562,745,635,943.00","882,089,197,438.00","618,499,963,188.00","705,024,545,629.00","645,332,005,032.00"
        Tăng trưởng lợi nhuận trước thuế,21.54%,19.74%,20.33%,19.47%,22.43%,19.78%,19.39%,19.20%,12.99%,23.77%,20.68%,27.37%,21.63%,18.23%,19.76%,22.28%,25.09%,1.27%,9.07%,18.94%,3.82%,30.25%,30.05%,23.00%,-42.56%,19.17%,15.68%,21.38%,93.57%,16.92%,12.77%,14.30%,13.63%,21.92%,-1.45%,-12.80%,39.84%,3.18%,9.31%,10.96%
    Lợi nhuận sau thuế của Cổ đông công ty mẹ,"2,086,993,221,115.00","2,088,852,212,408.00","1,875,158,768,537.00","1,798,030,863,528.00","1,728,399,961,335.00","1,739,340,360,244.00","1,509,219,531,243.00","1,493,562,580,890.00","1,351,601,105,816.00","1,453,716,280,969.00","1,250,820,478,762.00","1,238,879,424,986.00","1,301,522,104,628.00","1,124,838,737,907.00","1,000,031,075,983.00","906,142,681,183.00","982,843,692,181.00","928,887,800,638.00","878,710,517,511.00","747,105,139,041.00","757,233,806,198.00","960,108,010,842.00","791,704,283,229.00","626,304,276,321.00","786,460,440,897.00","724,917,924,600.00","594,282,345,873.00","509,013,722,111.00","1,419,645,450,459.00","582,640,652,429.00","511,685,685,004.00","412,899,887,330.00","661,138,145,325.00","467,811,292,728.00","516,003,095,436.00","345,690,044,903.00","662,357,845,998.00","389,063,984,750.00","456,633,177,453.00","424,660,831,199.00"
        Tăng trưởng lợi nhuận sau thuế,20.75%,20.09%,24.25%,20.39%,27.88%,19.65%,20.66%,20.56%,3.85%,29.24%,25.08%,36.72%,32.42%,21.10%,13.81%,21.29%,29.79%,-3.25%,10.99%,19.29%,-3.72%,32.44%,33.22%,23.04%,-44.60%,24.42%,16.14%,23.28%,114.73%,24.55%,-0.84%,19.44%,-0.18%,20.24%,13.00%,-18.60%,47.02%,-0.01%,6.79%,17.47%
