NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
14/03/2025,"135,600.00","136,300.00","130,800.00","131,400.00","-5,100.00",-0.04,"16,094,000.00"
13/03/2025,"136,100.00","138,000.00","136,100.00","136,500.00",600.00,0.00,"3,610,200.00"
12/03/2025,"137,700.00","138,700.00","135,900.00","135,900.00","-1,600.00",-0.01,"6,185,000.00"
11/03/2025,"138,000.00","138,500.00","137,000.00","137,500.00","-1,800.00",-0.01,"5,784,400.00"
10/03/2025,"141,500.00","141,500.00","139,200.00","139,300.00","-2,100.00",-0.01,"5,323,000.00"
07/03/2025,"141,700.00","142,700.00","141,100.00","141,400.00",-200.00,0.00,"2,954,500.00"
06/03/2025,"139,500.00","143,500.00","139,500.00","141,600.00","2,500.00",0.02,"6,417,100.00"
05/03/2025,"140,000.00","140,100.00","139,100.00","139,100.00",-900.00,-0.01,"2,851,100.00"
04/03/2025,"139,500.00","140,600.00","139,300.00","140,000.00",-500.00,0.00,"3,471,300.00"
03/03/2025,"140,500.00","141,400.00","140,300.00","140,500.00",200.00,0.00,"2,533,900.00"
28/02/2025,"140,100.00","141,100.00","139,000.00","140,300.00","-1,000.00",-0.01,"4,694,400.00"
27/02/2025,"142,000.00","142,200.00","140,700.00","141,300.00",-500.00,0.00,"3,421,700.00"
26/02/2025,"139,100.00","141,800.00","138,900.00","141,800.00","2,800.00",0.02,"3,323,400.00"
25/02/2025,"140,400.00","140,400.00","138,200.00","139,000.00","-1,500.00",-0.01,"6,810,400.00"
24/02/2025,"142,000.00","142,000.00","139,500.00","140,500.00","-1,500.00",-0.01,"7,497,900.00"
21/02/2025,"142,800.00","142,900.00","141,500.00","142,000.00","-1,000.00",-0.01,"5,312,600.00"
20/02/2025,"144,200.00","144,600.00","143,000.00","143,000.00","-1,000.00",-0.01,"3,385,400.00"
19/02/2025,"143,900.00","144,900.00","143,100.00","144,000.00",100.00,0.00,"3,029,800.00"
18/02/2025,"143,800.00","144,400.00","143,100.00","143,900.00",300.00,0.00,"1,664,400.00"
17/02/2025,"145,000.00","145,000.00","143,400.00","143,600.00","-1,300.00",-0.01,"2,466,300.00"
